#Summary of results from all benchmarks
NoAnnotations,Threshold,Method,EnrichmentSetUsed,TissuesTested,GenesSubmitted,TissuesReturned,GenesUsed,AvgFold,AvgQ
100,0.96,avg,WBPaper00044760_germline_specific_WBbt_0005784_2510,123,2510,4,-1998,2.524851231484033,0.006777696301624941
100,0.96,avg,WBPaper00045521_Spermatogenic_WBbt_0005784_2743,123,2743,15,-1835,1.8554635891937872,0.007284267221167807
100,1.0,any,WBPaper00013489_Ray_Enriched_WBbt_0006941_25,149,25,1,-5025,8.982248520710058,0.03167409595709994
100,1.0,any,WBPaper00024505_pharyngeal_enriched_WBbt_0003681_329,149,329,18,-4599,2.373402596079414,0.009869924518052681
100,1.0,any,WBPaper00024970_GABAergic_neuron_specific_WBbt_0005190_247,149,247,72,-4679,2.9582625584643303,0.004579261512265375
100,1.0,any,WBPaper00026980_intestine_enriched_WBbt_0005772_1970,149,1970,16,-2458,1.341974411889843,0.01573057700214924
100,1.0,any,WBPaper00031003_0hr_muscle_enriched_WBbt_0003675_761,149,761,18,-3968,2.3736891076807414,0.004292060783364451
100,1.0,any,WBPaper00031003_24hr_muscle_enriched_WBbt_0003675_918,149,918,17,-3785,2.1859002487873145,0.006116403168703159
100,1.0,any,WBPaper00031003_total_muscle_enriched_WBbt_0003675_1285,149,1285,17,-3286,2.159453045957903,0.0020680547053411025
100,1.0,any,WBPaper00031532_Larva_Pan_Neuronal_Enriched_WBbt_0003679_1603,149,1603,85,-2740,2.337511586757833,0.0007121303418399265
100,1.0,any,WBPaper00036375_enriched_in_PVD_OLL_WBbt_0006831_2180,149,2180,94,-1892,1.4082380773257683,0.004580710619638737
100,1.0,any,WBPaper00037950_all-neurons_larva_enriched_WBbt_0003679_1013,149,1013,82,-3670,3.0358986341158554,0.001152313657984854
100,1.0,any,WBPaper00037950_AVA-neuron_embryo_enriched_WBbt_0005842_534,149,534,14,-4364,2.1367976474238555,0.006454073406776463
100,1.0,any,WBPaper00037950_BAG-neuron_embryo_enriched_WBbt_0006825_454,149,454,65,-4401,3.5691580591333896,0.0031881363536409163
100,1.0,any,WBPaper00037950_coelomocytes_embryo_enriched_WBbt_0005751_570,149,570,8,-4304,2.121066276181802,0.022516446116745734
100,1.0,any,WBPaper00037950_coelomocytes_larva_enriched_WBbt_0005751_229,149,229,2,-4784,4.894249026574449,0.0035474448796072276
100,1.0,any,WBPaper00037950_dopaminergic-neurons_embryo_enriched_WBbt_0006746_466,149,466,79,-4405,3.0324626102503762,0.002830585223008628
100,1.0,any,WBPaper00037950_dopaminergic-neurons_larva_enriched_WBbt_0006746_1230,149,1230,78,-3422,1.946594694361167,0.0017718574875806624
100,1.0,any,WBPaper00037950_excretory-cell_larva_enriched_WBbt_0005812_528,149,528,8,-4358,3.8673545397614615,0.0008319731058284799
100,1.0,any,WBPaper00037950_GABAergic-motor-neurons_embryo_enriched_WBbt_0005190_361,149,361,71,-4539,2.542688881501278,0.00630591858606972
100,1.0,any,WBPaper00037950_GABAergic-motor-neurons_larva_enriched_WBbt_0005190_132,149,132,39,-4877,3.176258284688936,0.013541788130779676
100,1.0,any,WBPaper00037950_germline-precursors_embryo_enriched_WBbt_0006849_974,149,974,7,-3813,2.076582033042202,0.0072352714285724195
100,1.0,any,WBPaper00037950_hypodermis_embryo_enriched_WBbt_0005733_734,149,734,8,-4134,2.233180176526813,0.00016822512743195023
100,1.0,any,WBPaper00037950_hypodermis_larva_enriched_WBbt_0005733_1250,149,1250,8,-3498,2.0147992576315845,0.004588222400988761
100,1.0,any,WBPaper00037950_intestine_embryo_enriched_WBbt_0005772_886,149,886,7,-3888,1.7170570769106261,0.0036774150628693936
100,1.0,any,WBPaper00037950_intestine_larva_enriched_WBbt_0005772_946,149,946,6,-3917,1.6939948591645155,0.00018049359529176637
100,1.0,any,WBPaper00037950_pharyngeal-muscle_embryo_enriched_WBbt_0005451_598,149,598,3,-4279,1.8098319713736064,0.012408857002085294
100,1.0,any,WBPaper00037950_PVD-OLL-neurons_larva_enriched_WBbt_0006831_878,149,878,0,-3901,nan,nan
100,1.0,any,WBPaper00040420_ALM_PLM_enriched_WBbt_0005406_198,149,198,25,-4778,3.351885359757316,0.0065066262006259635
100,1.0,any,WBPaper00040420_FLP_enriched_WBbt_0006828_288,149,288,39,-4667,3.2254638798546567,0.004644441609208551
100,1.0,any,WBPaper00044760_germline_specific_WBbt_0005784_2510,149,2510,5,-1998,2.5477060845625816,0.005269796640989889
100,1.0,any,WBPaper00045521_Spermatogenic_WBbt_0005784_2743,149,2743,17,-1835,1.7812660393537991,0.003641441609734853
100,1.0,avg,WBPaper00013489_Ray_Enriched_WBbt_0006941_25,148,25,1,-5025,8.982248520710058,0.03145862591657545
100,1.0,avg,WBPaper00024505_pharyngeal_enriched_WBbt_0003681_329,148,329,18,-4599,2.373402596079414,0.009802782174392462
100,1.0,avg,WBPaper00024970_GABAergic_neuron_specific_WBbt_0005190_247,148,247,72,-4679,2.9582625584643303,0.004548110073406426
100,1.0,avg,WBPaper00026980_intestine_enriched_WBbt_0005772_1970,148,1970,16,-2458,1.341974411889843,0.015623566274243468
100,1.0,avg,WBPaper00031003_0hr_muscle_enriched_WBbt_0003675_761,148,761,18,-3968,2.3736891076807414,0.00426286309096061
100,1.0,avg,WBPaper00031003_24hr_muscle_enriched_WBbt_0003675_918,148,918,17,-3785,2.1859002487873145,0.006074794983882048
100,1.0,avg,WBPaper00031003_total_muscle_enriched_WBbt_0003675_1285,148,1285,17,-3286,2.159453045957903,0.0020539863059850405
100,1.0,avg,WBPaper00031532_Larva_Pan_Neuronal_Enriched_WBbt_0003679_1603,148,1603,85,-2740,2.337511586757833,0.0007072859177457769
100,1.0,avg,WBPaper00036375_enriched_in_PVD_OLL_WBbt_0006831_2180,148,2180,93,-1892,1.4041819034886494,0.004652254109939355
100,1.0,avg,WBPaper00037950_all-neurons_larva_enriched_WBbt_0003679_1013,148,1013,82,-3670,3.0358986341158554,0.0011444747895631878
100,1.0,avg,WBPaper00037950_AVA-neuron_embryo_enriched_WBbt_0005842_534,148,534,14,-4364,2.1367976474238555,0.006410168145505874
100,1.0,avg,WBPaper00037950_BAG-neuron_embryo_enriched_WBbt_0006825_454,148,454,65,-4401,3.5691580591333896,0.003166448351235195
100,1.0,avg,WBPaper00037950_coelomocytes_embryo_enriched_WBbt_0005751_570,148,570,8,-4304,2.121066276181802,0.02236327301391073
100,1.0,avg,WBPaper00037950_coelomocytes_larva_enriched_WBbt_0005751_229,148,229,2,-4784,4.894249026574449,0.0035233126015146617
100,1.0,avg,WBPaper00037950_dopaminergic-neurons_embryo_enriched_WBbt_0006746_466,148,466,79,-4405,3.0324626102503762,0.002811329541219454
100,1.0,avg,WBPaper00037950_dopaminergic-neurons_larva_enriched_WBbt_0006746_1230,148,1230,78,-3422,1.946594694361167,0.0017598040352841955
100,1.0,avg,WBPaper00037950_excretory-cell_larva_enriched_WBbt_0005812_528,148,528,8,-4358,3.8673545397614615,0.0008263134248364495
100,1.0,avg,WBPaper00037950_GABAergic-motor-neurons_embryo_enriched_WBbt_0005190_361,148,361,71,-4539,2.542688881501278,0.0062630211807223075
100,1.0,avg,WBPaper00037950_GABAergic-motor-neurons_larva_enriched_WBbt_0005190_132,148,132,39,-4877,3.176258284688936,0.013449667123087289
100,1.0,avg,WBPaper00037950_germline-precursors_embryo_enriched_WBbt_0006849_974,148,974,7,-3813,2.076582033042202,0.007186051895044716
100,1.0,avg,WBPaper00037950_hypodermis_embryo_enriched_WBbt_0005733_734,148,734,8,-4134,2.233180176526813,0.00016708073880996417
100,1.0,avg,WBPaper00037950_hypodermis_larva_enriched_WBbt_0005733_1250,148,1250,8,-3498,2.0147992576315845,0.004557010003703123
100,1.0,avg,WBPaper00037950_intestine_embryo_enriched_WBbt_0005772_886,148,886,7,-3888,1.7170570769106261,0.0036523986338702816
100,1.0,avg,WBPaper00037950_intestine_larva_enriched_WBbt_0005772_946,148,946,6,-3917,1.6939948591645155,0.00017926574770474758
100,1.0,avg,WBPaper00037950_pharyngeal-muscle_embryo_enriched_WBbt_0005451_598,148,598,3,-4279,1.8098319713736064,0.01232444300887383
100,1.0,avg,WBPaper00037950_PVD-OLL-neurons_larva_enriched_WBbt_0006831_878,148,878,0,-3901,nan,nan
100,1.0,avg,WBPaper00040420_ALM_PLM_enriched_WBbt_0005406_198,148,198,25,-4778,3.351885359757316,0.0064623634373564
100,1.0,avg,WBPaper00040420_FLP_enriched_WBbt_0006828_288,148,288,39,-4667,3.2254638798546567,0.00461284676832958
100,1.0,avg,WBPaper00044760_germline_specific_WBbt_0005784_2510,148,2510,5,-1998,2.5477060845625816,0.005233947684248462
100,1.0,avg,WBPaper00045521_Spermatogenic_WBbt_0005784_2743,148,2743,17,-1835,1.7812660393537991,0.0036166698981040034
25,0.9,any,WBPaper00013489_Ray_Enriched_WBbt_0006941_25,537,25,222,-5025,16.948247029185726,0.012724608665868095
25,0.9,any,WBPaper00024505_pharyngeal_enriched_WBbt_0003681_329,537,329,90,-4599,4.563844399982574,0.02035703986403992
25,0.9,any,WBPaper00024970_GABAergic_neuron_specific_WBbt_0005190_247,537,247,84,-4679,5.008255780890153,0.004794144323868621
25,0.9,any,WBPaper00026980_intestine_enriched_WBbt_0005772_1970,537,1970,8,-2458,1.2556700779124705,0.010156249357090648
25,0.9,any,WBPaper00031003_0hr_muscle_enriched_WBbt_0003675_761,537,761,14,-3968,2.623201733449563,0.0035050483725480334
25,0.9,any,WBPaper00031003_24hr_muscle_enriched_WBbt_0003675_918,537,918,13,-3785,2.3177449364927174,0.004460061889429503
25,0.9,any,WBPaper00031003_total_muscle_enriched_WBbt_0003675_1285,537,1285,13,-3286,2.269632583101809,0.00040109031351993397
25,0.9,any,WBPaper00031532_Larva_Pan_Neuronal_Enriched_WBbt_0003679_1603,537,1603,146,-2740,2.800746545322232,0.0024775192356844777
25,0.9,any,WBPaper00036375_enriched_in_PVD_OLL_WBbt_0006831_2180,537,2180,367,-1892,1.9522767022035536,0.007245354280538047
25,0.9,any,WBPaper00037950_all-neurons_larva_enriched_WBbt_0003679_1013,537,1013,143,-3670,3.714005482795948,0.002452382267253878
25,0.9,any,WBPaper00037950_AVA-neuron_embryo_enriched_WBbt_0005842_534,537,534,21,-4364,5.152833987943798,0.007629646027232488
